Citizenship,CIP Code and Description (2 digit),Award Level Code,Fiscal Year,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
U.S. Citizens and residents,,All US Citizen STEM Degrees ,,"497,114","492,007","481,064","467,357","451,323","433,102","415,988","396,022","378,414","363,234","345,982","329,104","307,294","291,421","269,629","262,453","255,970","254,078","251,082","248,171","240,168","227,250","219,834","217,899","213,259","213,898","211,411"
U.S. Citizens and residents,11 - COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Total,,"136,871","128,771","121,642","111,784","102,368","92,646","84,814","77,108","72,227","67,805","63,049","58,554","53,408","49,279","46,781","47,157","50,293","55,558","61,770","66,382","63,723","55,155","49,527","43,050","35,703","32,632","29,901"
U.S. Citizens and residents,11 - COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Bachelor's degree,,"104,259","98,855","95,015","88,294","81,542","73,973","67,215","61,210","56,969","53,368","49,272","45,700","41,586","38,322","36,783","37,139","40,248","44,965","50,729","55,044","53,237","45,891","40,267","34,688","28,215","25,651","23,385"
U.S. Citizens and residents,11 - COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Master's degree,,"31,401","28,817","25,599","22,518","19,929","17,850","16,743","15,078","14,391","13,558","12,916","12,031","11,044","10,174","9,724","9,869","10,045","10,593","11,041","11,338","10,486","9,264","9,260","8,362","7,488","6,981","6,516"
U.S. Citizens and residents,11 - COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,Doctor's degree - research/scholarship,,"1,211","1,099","1,028",972,897,823,856,820,867,879,861,823,778,783,274,149,-,-,-,-,-,-,-,-,-,-,-
U.S. Citizens and residents,14 - ENGINEERING.,Total,,"144,173","145,792","144,055","144,151","143,086","138,132","132,828","125,526","118,192","114,248","108,307","104,417","98,276","93,270","87,635","85,279","81,864","81,615","79,457","77,308","74,897","70,860","69,424","70,419","70,668","72,898","74,240"
U.S. Citizens and residents,14 - ENGINEERING.,Bachelor's degree,,"110,749","113,407","114,625","115,388","114,035","109,734","104,938","97,920","90,453","85,758","80,360","76,245","72,181","69,338","65,999","65,347","63,591","63,207","61,119","59,995","59,430","56,384","54,871","55,257","54,973","56,510","57,583"
U.S. Citizens and residents,14 - ENGINEERING.,Master's degree,,"28,349","27,443","25,051","24,319","24,422","23,822","23,389","23,065","23,177","24,076","23,867","24,297","22,421","20,484","20,136","19,085","18,273","18,408","18,338","17,313","15,467","14,476","14,553","15,162","15,695","16,388","16,657"
U.S. Citizens and residents,14 - ENGINEERING.,Doctor's degree - research/scholarship,,"5,075","4,942","4,379","4,444","4,629","4,576","4,501","4,541","4,562","4,414","4,080","3,875","3,674","3,448","1,500",847,-,-,-,-,-,-,-,-,-,-,-
U.S. Citizens and residents,26 - BIOLOGICAL AND BIOMEDICAL SCIENCES.,Total,,"154,537","154,166","151,962","146,603","140,942","137,794","135,270","131,662","127,131","121,506","116,393","110,739","103,684","99,605","89,594","85,655","81,384","75,617","70,714","67,607","66,017","66,429","66,767","69,607","71,133","71,623","69,627"
